id_registro,id_usuario,id_contexto,fecha_hora,valencia,activacion,comentario,comentario_limpio,valencia_limpia,error_conversion_valencia,valencia_valida,error_rango_valencia,activacion_limpia,error_conversion_activacion,activacion_valida,error_rango_activacion,fecha_hora_limpia,error_fecha,id_usuario_limpio,error_usuario,usuario_valido,id_contexto_limpio,error_contexto,contexto_valido,duplicado_id_registro,error_duplicado,duplicado_fila_completa,cantidad_errores,registro_valido
4180,1,1,2026-05-10 15:39,0.44,0.38,Comprendió el problema planteado,Comprendió el problema planteado,0.44,,True,,0.38,,True,,2026-05-10 15:39:00,,1,,True,1,,True,False,,False,0,True
2153,2,2,2026-04-29 18:00,0.14,-0.05,Revisó materiales del curso,Revisó materiales del curso,0.14,,True,,-0.05,,True,,2026-04-29 18:00:00,,2,,True,2,,True,False,,False,0,True
3890,3,3,2026-05-27 16:17,0.26,0.36,Analizó ejemplos antes de resolver,Analizó ejemplos antes de resolver,0.26,,True,,0.36,,True,,2026-05-27 16:17:00,,3,,True,3,,True,False,,False,0,True
1694,4,4,2026-04-10 15:32,0.08,0.15,Revisó materiales del curso,Revisó materiales del curso,0.08,,True,,0.15,,True,,2026-04-10 15:32:00,,4,,True,4,,True,False,,False,0,True
1129,5,5,2026-05-03 17:43,-0.49,0.15,Tuvo dudas persistentes sobre la consigna,Tuvo dudas persistentes sobre la consigna,-0.49,,True,,0.15,,True,,2026-05-03 17:43:00,,5,,True,5,,True,False,,False,0,True
512,6,6,2026-04-09 11:23,0.21,0.05,Revisó materiales del curso,Revisó materiales del curso,0.21,,True,,0.05,,True,,2026-04-09 11:23:00,,6,,True,6,,True,False,,False,0,True
649,7,7,2026-04-15 17:04,0.16,0.33,Completó una etapa intermedia,Completó una etapa intermedia,0.16,,True,,0.33,,True,,2026-04-15 17:04:00,,7,,True,7,,True,False,,False,0,True
2072,8,8,2026-05-13 13:49,0.63,0.66,Recibió una devolución positiva,Recibió una devolución positiva,0.63,,True,,0.66,,True,,2026-05-13 13:49:00,,8,,True,8,,True,False,,False,0,True
999,9,9,2026-05-03 09:40,-0.35,-0.17,Tuvo dificultades para avanzar,Tuvo dificultades para avanzar,-0.35,,True,,-0.17,,True,,2026-05-03 09:40:00,,9,,True,9,,True,False,,False,0,True
1073,10,10,2026-05-09 17:48,0.30,0.28,Recibió una devolución positiva,Recibió una devolución positiva,0.3,,True,,0.28,,True,,2026-05-09 17:48:00,,10,,True,10,,True,False,,False,0,True
5232,11,11,2026-04-30 13:29,0.24,0.43,Completó una etapa intermedia,Completó una etapa intermedia,0.24,,True,,0.43,,True,,2026-04-30 13:29:00,,11,,True,11,,True,False,,False,0,True
274,12,12,2026-04-04 09:05,0.43,0.16,Recibió una devolución positiva,Recibió una devolución positiva,0.43,,True,,0.16,,True,,2026-04-04 09:05:00,,12,,True,12,,True,False,,False,0,True
1825,13,1,2026-04-24 16:32,-0.16,-0.21,Registró una respuesta breve,Registró una respuesta breve,-0.16,,True,,-0.21,,True,,2026-04-24 16:32:00,,13,,True,1,,True,False,,False,0,True
4518,14,2,2026-04-17 09:17,0.10,0.39,Continuó trabajando con apoyo parcial,Continuó trabajando con apoyo parcial,0.1,,True,,0.39,,True,,2026-04-17 09:17:00,,14,,True,2,,True,False,,False,0,True
98,15,3,2026-05-03 16:37,0.30,0.87,Encontró una solución funcional,Encontró una solución funcional,0.3,,True,,0.87,,True,,2026-05-03 16:37:00,,15,,True,3,,True,False,,False,0,True
3388,16,4,2026-05-13 16:18,0.28,0.12,Completó una etapa intermedia,Completó una etapa intermedia,0.28,,True,,0.12,,True,,2026-05-13 16:18:00,,16,,True,4,,True,False,,False,0,True
4170,17,5,2026-05-30 14:00,0.03,0.42,Realizó la actividad sin comentarios especiales,Realizó la actividad sin comentarios especiales,0.03,,True,,0.42,,True,,2026-05-30 14:00:00,,17,,True,5,,True,False,,False,0,True
